 Wvl;         Refl;      St_dev
 350.00000;   8.64400;   1.23094
 351.00000;   8.75733;   1.16109
 352.00000;   8.73933;   1.12308
 353.00000;   8.67600;   1.37176
 354.00000;   8.77267;   1.15439
 355.00000;   8.74267;   1.09046
 356.00000;   8.68133;   1.18575
 357.00000;   8.89333;   1.25337
 358.00000;   9.13133;   1.22312
 359.00000;   9.07867;   1.24468
 360.00000;   8.74533;   1.26701
 361.00000;   8.80267;   1.36917
 362.00000;   8.58600;   1.50041
 363.00000;   8.39600;   1.54474
 364.00000;   8.73333;   1.38364
 365.00000;   9.21000;   1.36011
 366.00000;   8.99467;   1.34021
 367.00000;   8.35400;   1.32093
 368.00000;   8.80733;   1.46709
 369.00000;   9.18533;   1.34153
 370.00000;   9.17000;   1.17712
 371.00000;   8.82333;   1.35490
 372.00000;   8.88267;   1.34142
 373.00000;   9.05200;   1.47006
 374.00000;   9.18800;   1.39771
 375.00000;   9.26400;   1.20784
 376.00000;   9.13467;   1.23749
 377.00000;   9.01600;   1.30865
 378.00000;   9.00733;   1.29944
 379.00000;   8.67667;   1.32593
 380.00000;   8.81533;   1.24019
 381.00000;   9.23933;   1.18163
 382.00000;   9.19667;   1.35662
 383.00000;   9.06333;   1.46983
 384.00000;   9.05933;   1.41210
 385.00000;   9.25200;   1.28274
 386.00000;   9.58933;   1.23146
 387.00000;   9.46867;   1.29645
 388.00000;   9.12333;   1.38630
 389.00000;   9.07667;   1.39706
 390.00000;   9.44267;   1.25708
 391.00000;   9.42467;   1.25214
 392.00000;   8.91133;   1.46561
 393.00000;   9.13200;   1.42352
 394.00000;   9.38800;   1.31993
 395.00000;   9.48267;   1.21723
 396.00000;   9.43200;   1.30563
 397.00000;   9.29400;   1.37880
 398.00000;   9.41267;   1.42823
 399.00000;   9.68600;   1.45653
 400.00000;   9.47867;   1.37682
 401.00000;   9.50067;   1.31190
 402.00000;   9.56267;   1.34000
 403.00000;   9.34000;   1.49440
 404.00000;   9.31200;   1.44083
 405.00000;   9.49133;   1.37074
 406.00000;   9.71267;   1.37609
 407.00000;   9.57000;   1.37878
